semantic_object,object_vlm_type,material_id,canonical_name,candidate_vlm_type_norm,material_type_norm,absorption_level,alpha_mid,alpha_high,source_group,source_material_name,a125,a250,a500,a1000,a2000,a4000,a8000,sampling_policy
wall,wall,wall_plasterboard,"2 * 13 mm plasterboard on steel frame, 50 mm mineral wool in cavity, surface painted",wall,thin_panel_resonant,reflective,0.0467,0.0467,pyroom,plasterboard,0.15,0.1,0.06,0.04,0.04,0.05,0.05,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_brick_wall_rough,"brick wall, stuccoed with a rough finish",wall,hard_masonry_reflective,reflective,0.04,0.0633,pyroom,brick_wall_rough,0.03,0.03,0.03,0.04,0.05,0.07,0.07,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_limestone_wall,limestone walls,wall,hard_masonry_reflective,reflective,0.04,0.05,pyroom,limestone_wall,0.02,0.02,0.03,0.04,0.05,0.05,0.05,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_rough_concrete,rough concrete,wall,hard_masonry_reflective,reflective,0.0333,0.06,pyroom,rough_concrete,0.02,0.03,0.03,0.03,0.04,0.07,0.07,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_rough_lime_wash,rough lime wash,wall,hard_masonry_reflective,reflective,0.0433,0.03,pyroom,rough_lime_wash,0.02,0.03,0.04,0.05,0.04,0.03,0.02,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_smooth_brickwork_flush_pointing,"smooth brickwork with flush pointing, painted",wall,hard_masonry_reflective,reflective,0.02,0.02,pyroom,smooth_brickwork_flush_pointing,0.01,0.01,0.02,0.02,0.02,0.02,0.02,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_unpainted_concrete,smooth unpainted concrete,wall,hard_masonry_reflective,reflective,0.02,0.04,pyroom,unpainted_concrete,0.01,0.01,0.02,0.02,0.02,0.05,0.05,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,wall_brickwork,"walls, rendered brickwork",wall,hard_masonry_reflective,reflective,0.0267,0.0367,pyroom,brickwork,0.01,0.02,0.02,0.03,0.03,0.04,0.04,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_vinyl_plastic_plexiglass_flex_acoustics_aqtube_77635e,"Flex Acoustics - AqTube - Configuration: off, 3 samples in lines in an array in a frame",acoustic_treatment,glass_reflective,reflective,0.0333,0.075,odeon,AqTube,0.0,0.0,0.0,0.05,0.05,0.1,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_vinyl_plastic_plexiglass_flex_acoustics_evoke_0d6239,Flex Acoustics - Evoke - Configuration: Acoustic variable module in closed condition - Mounting depth [mm]: 400 - Use: 90mm mineral wool with acoustic linen on both sides,acoustic_treatment,porous_fiber_absorber,reflective,0.05,0.05,odeon,Evoke,0.2,0.1,0.05,0.05,0.05,0.05,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_gypsum_knauf_belgravia_28c4da,Knauf - Belgravia - NRC: 0.05 - Use: All suspension without mineral wool,acoustic_treatment,perforated_panel_absorber,reflective,0.0667,0.05,odeon,Belgravia,0.4,0.2,0.1,0.05,0.05,0.05,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_gypsum_knauf_belgravia_e_fdb7ad,Knauf - Belgravia+ (E+) - NRC: 0.05 - Use: All suspension without mineral wool,acoustic_treatment,perforated_panel_absorber,reflective,0.0667,0.05,odeon,Belgravia+ (E+),0.4,0.2,0.1,0.05,0.05,0.05,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
wall,wall,odeon_gypsum_knauf_contrapanel_5a7ec1,Knauf - Contrapanel - NRC: 0.05 - Use: All suspension without mineral wool,acoustic_treatment,perforated_panel_absorber,reflective,0.0667,0.05,odeon,Contrapanel,0.4,0.2,0.1,0.05,0.05,0.05,0.0,"Default residential wall: reflective/semi_reflective gypsum/plaster/concrete. Use absorptive/highly_absorptive only when VLM detects acoustic panel, soft wall, or heavy wall treatment."
